osm_id,osm_type,final_name,place,population,geoid
154167483,node,Gastonia,city,69904,3725580
154282644,node,Montreat,village,698,3744100
154373829,node,Jefferson,village,698,
158424861,node,Society Hill,village,697,
154098507,node,Bethlehem,village,696,
158558173,node,Marion,town,6959,
158472151,node,Conway,village,691,3714400
195469885,node,Zebulon,village,6903,3776220
154101421,node,Grover,village,690,3728400
153846968,node,Chapin,village,689,
154083096,node,Dacula,town,6882,
153947741,node,Commerce,village,6881,
157591379,node,Dobbins Heights,village,687,3717325
154042128,node,Newport,town,6865,
1848178,relation,Greene County,county,68580,
158395688,node,Bailey,village,678,3703020
158545126,node,Selma,town,6779,3760320
158643129,node,Coward,village,671,
154372634,node,Mount Airy,village,671,
154007720,node,East Bend,village,671,3719320
153882556,node,Clover,town,6671,
154331058,node,Newland,town,667,3746740
154150934,node,Brevard,town,6654,3707720
158507472,node,Jackson,village,662,3734000
153884298,node,Rest Haven,hamlet,66,
157576363,node,Sedalia,village,659,3760180
154183781,node,Alpharetta,city,65818,
153917527,node,Green Mountain,hamlet,658,
154113238,node,Church Hill,town,6552,
158624021,node,Darlington,town,6548,
158446526,node,Seaboard,village,654,3759980
154079513,node,Carnesville,village,651,
158463606,node,Stedman,village,651,3764840
158470564,node,Knightdale,town,6479,3736080
153863279,node,Gilbert,village,643,
153998743,node,Hot Springs,town,642,3732840
153975330,node,McAdenville,village,641,3739880
157567655,node,Arrowhead Beach,village,640,3701972
158250081,node,Tatum,hamlet,64,
158230963,node,Lasker,village,64,3737000
157573655,node,Dillon,town,6382,
3498331592,node,Stone Mountain,village,6368,
153895139,node,Pigeon Forge,town,6343,
1848180,relation,Hamblen County,county,63402,
153987967,node,Lawndale,village,633,3737260
154010161,node,Spencer Mountain,hamlet,63,3763780
153976053,node,Cumming,town,6284,
158391828,node,Newton Grove,village,627,3747020
158560610,node,Whitakers,village,627,3773160
157573042,node,Olanta,village,626,
158382917,node,Dundarrach,hamlet,62,3718300
154347621,node,Peak,hamlet,62,
157619192,node,Chapel Hill,city,61960,3711800
154341558,node,Lyman,town,6183,
153961194,node,Misenheimer,village,618,3743580
157638415,node,Hoffman,village,616,3731920
154164541,node,Catawba,village,615,3710980
158279648,node,Clarkton,village,614,3712780
153922175,node,Chester,town,6123,
158459297,node,Boykins,village,612,
154331919,node,Harmony,village,609,3729640
154072967,node,Colbert,village,609,
153847345,node,Mills River,village,6088,3743260
154026420,node,Fallston,village,608,3722720
154057445,node,Ansonville,village,606,3701420
154151655,node,Pittman Center,village,603,
158238027,node,Hamlet,town,6025,3729160
158584444,node,Leggett,hamlet,60,3737640
154154111,node,Dellview,hamlet,6,3716820
158631334,node,Boiling Spring Lakes,village,5980,3706760
154093449,node,High Shoals,village,595,3731440
154153067,node,Cross Hill,village,593,
157626676,node,Bogue,village,592,3706740
158457940,node,Lake City,town,5903,
153958244,node,Mocksville,town,5900,3743720
158310573,node,Greenevers,village,590,3727780
158467003,node,Apex,city,58780,3701520
158497959,node,Lewiston Woodville,village,584,3738030
154178055,node,Danielsville,village,584,
153840944,node,Blythewood,town,5839,
154155061,node,Townsend,village,583,
153991867,node,Campobello,village,581,
158349532,node,Aynor,village,581,
158500994,node,White Lake,village,581,3773300
169327944,node,Aurora,village,581,3702620
154287269,node,Erwin,town,5806,
154393564,node,Lynchburg,village,580,
154171961,node,Ridge Spring,village,579,
154212068,node,Six Mile,village,574,
154326110,node,Patterson Springs,village,571,3750700
158422957,node,Gibson,village,570,3725940
153979201,node,Abbeville,town,5683,
1847613,relation,Carter County,county,56486,
1847626,relation,Hawkins County,county,56471,
154340728,node,Rosman,village,564,3758020
158616326,node,Carolina Beach,town,5625,3710500
158399373,node,Varnamtown,village,560,3769795
158256083,node,Williamston,town,5583,3774220
158598426,node,Winfall,village,555,3774720
153976541,node,Cherryville,town,5533,3712340
154352514,node,Morven,village,552,3744560
158256506,node,South Weldon,village,550,3763560
157571504,node,Rex,hamlet,55,3756100
153970679,node,Clifton,village,544,
3510820374,node,Rocky Mount,city,54341,3757500
153942942,node,Bessemer City,town,5428,3705220
154323881,node,Piedmont,town,5411,
158343337,node,Hillsborough,town,5403,3731620
153933719,node,Peachland,village,539,3750820
158610616,node,Pink Hill,village,538,3752400
154134821,node,Mount Carmel,suburb,5356,
154084450,node,Harrisburg,town,5347,3729800
153985311,node,Travelers Rest,town,5346,
154127405,node,Converse,village,534,
154400664,node,Polkville,village,533,3753160
1848183,relation,Jefferson County,county,53240,
154059635,node,Helen,village,531,
153832776,node,Kingsport,city,53014,
158581716,node,Minnesott Beach,village,530,3743440
158597857,node,James City,village,5291,3734260
158233846,node,East Arcadia,village,528,3719300
1848198,relation,Roane County,county,52753,
